canonical_term,locus_code,latin,czech_16c,german_16c,slovak_cs,semantic_field,notes
real_presence,L1.1,praesentia realis; praesentia vera et substantialis; vere et substantialiter adesse,pravá a podstatná přítomnost; opravdivě přítomen,wahrhaftig gegenwärtig; wesentliche Gegenwart; wahrer Leib und Blut,pravá a podstatná prítomnosť; opravdivě prítomný,MODE_OF_PRESENCE,"FC SD VII key term. Czech forms attested in Confessio Bohemica and neo-Utraquist texts."
in_with_under,L1.1,in pane; sub pane; cum pane; in/sub/cum,pod spůsobou chleba a vína; pod způsobou,unter der Gestalt des Brots und Weins; in/mit/unter dem Brot,pod spôsobou chleba a vína,MODE_OF_PRESENCE,"Characteristic Lutheran prepositional formula. The triple preposition appears in FC SD VII."
spiritual_presence,L1.1,spiritualis praesentia; praesentia spiritualis; spiritu praesens,duchovní přítomnost; duchovně přítomen,geistliche Gegenwart; geistlich gegenwärtig,duchovná prítomnosť; duchovne prítomný,MODE_OF_PRESENCE,"Unity (mature) position. Also used in some neo-Utraquist formulations. Distinct from both Luther and Zwingli."
body_of_christ_sacramental,L1.1,corpus Christi; verum corpus; corpus et sanguis,tělo Kristovo; pravé tělo; tělo a krev,Leib Christi; wahrer Leib; Leib und Blut,telo Kristovo; pravé telo; telo a krv,EUCHARISTIC_ELEMENTS,"Shared across all traditions but with different ontological claims attached."
figurative_sign,L1.1,signum; figura; significat; repraesentat; typus,znamení; figůra; znamená; značí,Zeichen; Bedeutung; bedeutet,znamenie; značí,MODE_OF_PRESENCE,"Used by early Unity and in anti-Zwinglian polemic (where Lutherans attribute this view to opponents)."
bread_and_wine,L1.1,panis et vinum; species panis et vini; elementa,chléb a víno; spůsoby chleba a vína,Brot und Wein; Gestalt des Brots,chlieb a víno; spôsoby chleba a vína,EUCHARISTIC_ELEMENTS,"Universal but theologically loaded: what happens to the bread and wine IS the question."
transubstantiation,L1.1,transsubstantiatio; conversio substantiae,přepodstatnění; proměnění podstaty,Verwandlung der Substanz; Transsubstantiation,prepodstatnenie,MODE_OF_PRESENCE,"Rejected by all three traditions (though with different intensity). The term itself is the polemical target."
sub_utraque,L1.2,sub utraque specie; communio sub utraque; calix laicorum,pod obojí; pod obojí způsobou; kalich lidu,unter beiderlei Gestalt; beider Gestalt; Kelch für die Laien,pod obojím; pod obojím spôsobom; kalich ľudu,COMMUNION_PRACTICE,"THE Utraquist identity marker. Shared practice with Lutherans but different theological weight."
chalice,L1.2,calix; poculum; calix Domini; calix sanguinis,kalich; kalich Páně; kalich krve,Kelch; Kelch des Herrn; Kelch des Bluts,kalich; kalich Pánov; kalich krvi,COMMUNION_PRACTICE,"Metonymy for sub utraque communion. 'Kalich' is the single most identity-laden word in Czech Reformation."
infant_communion,L1.2,communio infantium; communio parvulorum,přijímání dítek; přijímání nemluvňátek,Kinderkommunion; Kommunion der Kinder,prijímanie detí; prijímanie nemluvniat,COMMUNION_PRACTICE,"Practised by some old-Utraquists; rejected by Lutherans and Unity. Attested in Hussite sources."
worthy_reception,L1.2,digne accipere; digne communicare; examinatio; probatio,hodně přijímati; hodné přistupování; zpytování,würdig empfangen; Prüfung; Selbstprüfung,hodne prijímať; hodné pristupovanie; spytovanie,COMMUNION_PRACTICE,"All traditions require preparation, but the Unity's moral requirements were most stringent. 1 Cor 11:28-29 is the common proof text."
